"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","2ND FOLLOW-UP INSPECTION-COMPLIANCE","2014-09-10","04C","In Place",0,"Critical","Not Observed",0,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2014-01-10","01C","Cross Contamination",0,"Critical","In",65,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2014-01-10","02A","Personnel With Infections Restricted",0,"Critical","In",65,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-08-18","01D","HACCP Plan",0,"Critical","Not Applicable",70,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2013-03-29","AM7","Private Corporate Food Safety Inspections",10,"Non-Critical",NULL,70,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-08-18","12D","Wiping Cloths",0,"Non-Critical","Not Observed",70,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2014-01-10","03A","Cooling Methods",0,"Critical","Not Observed",65,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","QUICK ASSESSMENT INSPECTION","2014-01-10","02D","Hygienic Practices",0,"Critical","In",65,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2014-07-30","AM21","Do Your Have a Thermocouple or Digital Thermometer",5,"Non-Critical","Full",40,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-08-18","03A","Cooling Methods",0,"Critical","Not Observed",70,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
"FA0000502","LUCILES CREOLE CAFE","518 KIMBARK ST","518",NULL,"KIMBARK","ST",NULL,"LONGMONT","CO","805015531","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-08-18","07B","Pesticide Application",0,"Critical","In",70,"518 KIMBARK ST
LONGMONT, CO 805015531
(40.168199, -105.10119)"
