"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-09-20","14D","Lighting",0,"Non-Critical","Not Observed",0,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-09-20","14C","Floors Walls Ceilings",0,"Non-Critical","Not Observed",0,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2018-01-10","08A","Properly Stored",0,"Critical","Not Observed",0,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-04-24","AM3","All Staff Receive Formal Food Safety Training",10,"Non-Critical","Full",55,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2018-01-10","14F","Locker Rooms",0,"Non-Critical","Not Observed",0,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-09-20","07A","Evidence of Insects or Rodents",0,"Critical","Not Observed",0,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-12-19","AM7","Private Corporate Food Safety Inspections",10,"Non-Critical","In",50,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-04-24","AM22","Do You Have a Dial Thermometer",0,"Non-Critical","Full",55,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2018-01-10","03C","Hot Hold at 135 Degrees Farenheit or Greater",0,"Critical","Not Observed",0,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
"FA0001242","OAK AT FOURTEENTH","1400 PEARL ST","1400",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025307","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-12-19","AM3","All Staff Receive Formal Food Safety Training",10,"Non-Critical","In",50,"1400 PEARL ST
BOULDER, CO 803025307
(40.018492, -105.277141)"
