"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"RINGO STORES INC","RINGO'S DISCOUNT LIQUOR STORE INC","03-02730","Liquor Store (city)","2020-03-17","213 EAST MAIN STREET","Aguilar","CO",81020
"SPANISH PEAKS INN LLC","SPANISH PEAKS INN TAVERN","42-61917-0000","Tavern (county)","2019-09-11","22590 COUNTY RD 41.6","Aguilar","CO",810209747
"ROUGHNECKS SALOON LLC","SUNSET TAVERN","15-77790-0000","Tavern (city)","2019-12-20","200 E MAIN ST","Aguilar","CO",81020
"LUCERO MATTHEWLUCERO BOBBY JEAN","NAVAJO LIQUORS","06-09115-0000","Liquor Store (city)","2019-11-12","410 E MAIN ST","Aguilar","CO",81020
"WASHINGTON COUNTY GOLF CLUB INC","WASHINGTON COUNTY GOLF CLUB","03-02770","Optional Premises (county)","2019-04-14","39469 HWY 63","Akron","CO",80720
"FIVE STAR DINING & GRILL LLC","FIVE STAR DINING & GRILL","03-09304","Hotel & Restaurant (city)","2019-06-28","85 MAIN AVENUE","Akron","CO",80720
"ALICIA JOHANSEN","DOLITTLE'S","03-06923","Tavern (city)","2019-09-27","275 EAST 1ST STREET - BASEMENT LEVEL","Akron","CO",80720
"STARLIN JERRY & JANET SCHOLES KAREN & ALLEN","THE GRASSHOPPER","28-40241-0000","Liquor Store (city)","2019-09-14","364 EAST 1ST STREET","Akron","CO",807201506
"BPOE ELKS CLUB NO 2579","AKRON ELKS LODGE NO 2579","02-19042-0002","Club License (city)","2020-01-04","181 ASH AVE","Akron","CO",80720
"LA CABANA DEL AMIGO INC","LA CABANA DEL AMIGO - AKRON","03-10175","Tavern (city)","2019-06-27","90 MAIN AVENUE","Akron","CO",80720
"PESTER MARKETING COMPANY","ALTA #3501","04-00888","Fermented Malt Beverage Off (city)","2019-09-11","3213 MAIN STRET","Alamosa","CO",81101
"THE COLORADO FARM BREWERY LLC","THE COLORADO FARM BREWERY LLC","03-08662","Manufacturer (brewery)","2020-01-24","2070 COUNTRY ROAD 12 SOUTH","Alamosa","CO",81101
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","03-07678","Manufacturer (brewery)","2019-04-06","625 MAIN STREET","Alamosa","CO",81101
"SODEXO AMERICA LLC","SODEXO","03-10356","Related Facility Permit (City)","2019-07-20","1601 1ST STREET","Alamosa","CO",81102
"A-O.K. LIQUORS INC","CHIEF LIQUOR","03-00362","Liquor Store (city)","2019-10-30","1280 MAIN ST","Alamosa","CO",81101
"EMMA'S LLC","EMMA'S LLC","03-09860","Hotel & Restaurant (city)","2019-05-29","924 MAIN STREET","Alamosa","CO",81101
"SAFEWAY STORE FORTY SIX INC","SAFEWAY STORE # 1681","21-70664-0007","Fermented Malt Beverage Off (city)","2019-12-16","1301 MAIN ST","Alamosa","CO",81101
