"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0001493","BOULDER PHO","2855 28TH ST","2855",NULL,"28TH","ST",NULL,"BOULDER","CO","80301","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2013-10-11","10A","Food-Contact Surfaces Construction","2","Non-Critical","Out",12,"2855 28TH ST
BOULDER, CO 80301
(40.028205, -105.258399)"
"FA0000175","CENTENNIAL LANES","110 E 9TH AVE","110","E","9TH","AVE",NULL,"LONGMONT","CO","80501","RESTAURANT 0 TO 100 SEATS","CONCESSIONS SENIOR NUTRITION","REGULAR INSPECTION","2013-09-24","03G","Adequate Equipment to Maintain Food Temperatures","20","Critical","Out",72,"110 E 9TH AVE
LONGMONT, CO 805013503
(40.173977, -105.091808)"
"FA0002307","SKY CAFE","200 EXEMPLA CIR","200",NULL,"EXEMPLA","CIR",NULL,"LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","ROUTINE INSPECTION","2014-09-11","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",15,"200 EXEMPLA CIR
LAFAYETTE, CO 80026
(39.97059, -105.085597)"
"FA0002133","EATS AND SWEETS","401 S PUBLIC RD UNIT C","401","S","PUBLIC","RD","C","LAFAYETTE","CO","80026","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","QUICK ASSESSMENT INSPECTION","2013-05-07","03E","Cold Hold at 41 Degrees or Less","15","Critical","Out",60,"401 S PUBLIC RD UNIT C
LAFAYETTE, CO 80026
(39.994999, -105.09046)"
"FA0002630","TGI FRIDAYS","125 KEN PRATT BLVD","125",NULL,"KEN PRATT","BLVD",NULL,"LONGMONT","CO","80501","RESTAURANT MORE THAN 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2015-04-30","09B","Food Protected from Contamination","2","Non-Critical","Out",23,"125 KEN PRATT BLVD
LONGMONT, CO 80501
(40.152366, -105.094678)"
"FA0004837","BOULDER DEPOT ROADHOUSE THE","2366 JUNCTION PL","2366",NULL,"JUNCTION","PL",NULL,"BOULDER","CO","80302","RESTAURANT MORE THAN 200 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2017-01-18","03C","Hot Hold at 135 Degrees Farenheit or Greater","15","Critical","Out",105,"2366 JUNCTION PL
BOULDER, CO 80302"
"FA0004624","BOULDER PREPARATORY HIGH SCHOOL","5075 CHAPARRAL CT UNIT 1","5075",NULL,"CHAPARRAL","CT","1","BOULDER","CO","80301","NO FEE LICENSE K12 SCHOOLS NON PROFIT","SCHOOLS","REGULAR INSPECTION","2015-02-24","03B","Rapidly Reheat to 165 Degrees or Greater","20","Critical","Out",70,"5075 CHAPARRAL CT UNIT 1
BOULDER, CO 80301
(40.066861, -105.202808)"
"FA0000098","BLACKJACK PIZZA #BJCO008","3023 WALNUT ST","3023",NULL,"WALNUT","ST",NULL,"BOULDER","CO","80302","RESTAURANT 0 TO 100 SEATS","FAST FOOD LIMITED MENU","REGULAR INSPECTION","2017-04-11","14C","Floors Walls Ceilings","1","Non-Critical","Out",44,"3023 WALNUT ST
BOULDER, CO 80302
(40.020084, -105.251681)"
"FA0004853","LONCHERA LOS PAISAS (MOBILE)","3141 28TH ST","3141",NULL,"28TH","ST",NULL,"BOULDER","CO","80304","MOBILE UNIT FULL FOOD SERVICE","MOBILE UNITS","REGULAR INSPECTION","2016-05-02","02C","Hands Washed As Needed","20","Critical","Out",63,"3141 28TH ST
BOULDER, CO 80304
(40.031727, -105.258426)"
"FA0000132","BOBS SANDWICH SHOP","820 MAIN ST UNIT 100","820",NULL,"MAIN","ST","100","LOUISVILLE","CO","80027","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","REGULAR INSPECTION","2013-07-25","02F","Training Needed","15","Critical","Out",60,"820 MAIN ST UNIT 100
LOUISVILLE, CO 800271832
(39.978279, -105.132144)"
