"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-08-16","07B","Pesticide Application",0,"Critical","Not Observed",0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-08-16","05C","Backflow Back Siphonage",0,"Critical","Not Observed",0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-09-02","03B","Rapidly Reheat to 165 Degrees or Greater",0,"Critical","Not Observed",0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-09-02","01E","Date Marking",0,"Critical","Not Observed",0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2016-08-09","AM5","Conduct Daily Food Safety Inspections",10,"Non-Critical","Full",60,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-05-08","AM7","Private Corporate Food Safety Inspections",10,"Non-Critical","In",30,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","COMPLAINT INSPECTION","2017-05-08","13C","No Reuse of Single Service Articles",0,"Non-Critical","Not Observed",65,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-09-02","03C","Hot Hold at 135 Degrees Farenheit or Greater",0,"Critical","Not Observed",0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","COMPLAINT INSPECTION","2017-05-08","08A","Properly Stored",0,"Critical","In",65,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
"FA0000200","BOULDER DUSHANBE TEA HOUSE","1770 13TH ST","1770",NULL,"13TH","ST",NULL,"BOULDER","CO","80302","RESTAURANT 101 TO 200 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2014-09-02","11C","Chemical Test Kits Provided Accessible",0,"Non-Critical","Not Observed",0,"1770 13TH ST
BOULDER, CO 80302
(40.015593, -105.277767)"
