"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","09B","Food Protected from Contamination",0,"Non-Critical","Not Observed",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2015-08-18","AM1","Certified Food Safety Manager",10,"Non-Critical","Full",35,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","01C","Cross Contamination",0,"Critical","In",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","13B","Single Service Articles Stored Dispensed Used",0,"Non-Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","03D","Required Cooking Temperature",0,"Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","03A","Cooling Methods",0,"Critical","In",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2015-08-18","AM3","All Staff Receive Formal Food Safety Training",10,"Non-Critical","In",35,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","08A","Properly Stored",0,"Critical","In",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-03-27","AM18","Document Sanitizer Concentrations and Usage",10,"Non-Critical","Half",55,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","12A","Food Contact Surfaces Cleaning",0,"Non-Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","03C","Hot Hold at 135 Degrees Farenheit or Greater",0,"Critical","In",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","01E","Date Marking",0,"Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","12B","Non-Food Contact Surfaces Cleaning",0,"Non-Critical","Not Observed",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2017-03-27","AM5","Conduct Daily Food Safety Inspections",10,"Non-Critical","Half",55,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","06C","Soap and Drying Devices",0,"Critical","In",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","13C","No Reuse of Single Service Articles",0,"Non-Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","05D","Sewage Disposal",0,"Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","14A","Plumbing Installed Maintained",0,"Non-Critical","Not Observed",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","INVESTIGATION INSPECTION","2014-05-23","09A","Original Container Properly Labeled",0,"Non-Critical","Not Observed",20,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","01A","Approved Source",0,"Critical","In",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
"FA0000556","MOUNTAIN SUN PUB & BREWERY","1535 PEARL ST","1535",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025408","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2015-09-29","07A","Evidence of Insects or Rodents",0,"Critical","Not Observed",0,"1535 PEARL ST
BOULDER, CO 803025408
(40.018885, -105.275207)"
