"facilityid","facilityname","siteaddress","streetnumber","streetdirection","streetname","streettype","streetunit","city","state","zip","typeoffacility","categoryoffacility","inspectiontype","inspectiondate","violationcode","violation","violationpoints","violationtype","violationstatus","inspectionscore","location"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","14H","Separation of Living Laundry",0,"Non-Critical","Not Observed",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","05A","Safe Water Source",0,"Critical","Not Observed",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2016-09-06","AM18","Document Sanitizer Concentrations and Usage",10,"Non-Critical","In",35,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","01F","Consumer Advisory",0,"Critical","In",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2016-09-06","AM5","Conduct Daily Food Safety Inspections",10,"Non-Critical","In",35,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","07C","Animals Prohibited",0,"Critical","Not Observed",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","01B","Wholesome Free of Spoilage",0,"Critical","Not Observed",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","ACTIVE MANAGEMENT CONTROL (AMC)","2016-09-06","AM23","Thin Probe Available",5,"Non-Critical","Full",35,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","01A","Approved Source",0,"Critical","In",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
"FA0000092","RIFFS URBAN FARE","1115 PEARL ST","1115",NULL,"PEARL","ST",NULL,"BOULDER","CO","803025103","RESTAURANT 0 TO 100 SEATS","FULL SERVICE FULL MENU","FOLLOW-UP INSPECTION","2016-10-07","03B","Rapidly Reheat to 165 Degrees or Greater",0,"Critical","Not Observed",0,"1115 PEARL ST
BOULDER, CO 803025103
(40.01766, -105.281147)"
